Reference GeoSymbio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Gene;Accession number;Host_Phylum;Host_Class;Host_Order;Host_Family;Host_Genus;Host_Species;Host_Sci_Name;Ocean;Country;StateRegion;Latitude;Longitude;Reference;;Accession number;Host_Species_code;Country;year;sample_number;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;LaJeunesse_2002_Mar_Biol_141_387;;AF333509;Pastreoides;Bah;1999;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;furcata;Porites furcata;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333509;Pfurcata;Mex;1999;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;Thornhill_2006_Coral_Reefs_25_515;;AF333509;Pastreoides;Bah;2005;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;Florida;24.59;-80.22;Thornhill_2006_Coral_Reefs_25_515;;AF333509;Pastreoides;Flo;2005;1;;;;;;;;;;;;;;;
A4.1;ITS2;FN429760;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429760;Pastreoides;USVI;2006;5;;;;;;;;;;;;;;;
A4.1;ITS2;FN429760;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;FN429760;Pastreoides;USVI;2006;6;;;;;;;;;;;;;;;
A4.1;ITS2;FN429760;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;FN429760;Pastreoides;USVI;2006;7;;;;;;;;;;;;;;;
A4.2;ITS2;FN429761;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429761;Pastreoides;USVI;2006;8;;;;;;;;;;;;;;;
A4.3;ITS2;FN429763;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429763;Pastreoides;USVI;2006;9;;;;;;;;;;;;;;;
A4.3;ITS2;FN429763;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;FN429763;Pastreoides;USVI;2006;10;;;;;;;;;;;;;;;
A4.3;ITS2;FN429763;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429763;Pastreoides;USVI;2006;11;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF499778;Pastreoides;Bar;2005;4;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF499778;Pastreoides;Bar;2005;5;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;AF499778;Pastreoides;USVI;2006;12;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;AF499778;Pastreoides;USVI;2006;13;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;AF499778;Pastreoides;USVI;2006;14;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;AF499778;Pastreoides;USVI;2006;15;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF499778;Pastreoides;Mex;1999;3;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;LaJeunesse_2002_Mar_Biol_141_387;;AF499778;Pastreoides;Bah;1999;2;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;Thornhill_2006_Coral_Reefs_25_515;;AF499778;Pastreoides;Bah;2005;2;;;;;;;;;;;;;;;
A4a;ITS2;AF499778;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;Florida;24.59;-80.22;Thornhill_2006_Coral_Reefs_25_515;;AF499778;Pastreoides;Flo;2005;2;;;;;;;;;;;;;;;
A4a.1;ITS2;FN429762;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429762;Pastreoides;USVI;2006;16;;;;;;;;;;;;;;;
A4a.1;ITS2;FN429762;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;FN429762;Pastreoides;USVI;2006;17;;;;;;;;;;;;;;;
A4a.1;ITS2;FN429762;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;FN429762;Pastreoides;USVI;2006;18;;;;;;;;;;;;;;;
A4porites;ITS2;N_A;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;porites;Porites porites;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;N_A;Pporites;Bar;2005;2;;;;;;;;;;;;;;;
B1;ITS2;DQ838547;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;franksi;Montastraea franksi;Caribbean;Panama;Bocas del Toro;9.33533611;-82.25432222;Garren_2006_Coral_Reefs_25_503;;DQ838547;Ofranksi;Pan;2002;2;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;Mexico;Quintana Roo;20.522877;-86.510453;DeSalvo_2010_Mol_Ecol_19_1174;;AF333511;Ofaveolata;Mex;2007;3;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;Mexico;Quintana Roo;20.522877;-86.510453;DeSalvo_2010_Mol_Ecol_19_1174;;AF333511;Ofaveolata;Mex;2007;4;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;Mexico;Quintana Roo;20.522877;-86.510453;DeSalvo_2010_Mol_Ecol_19_1174;;AF333511;Ofaveolata;Mex;2007;5;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Diploria;clivosa;Diploria clivosa;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333511;Dclivosa;Col;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Meandrinidae;Meandrina;meandrites;Meandrina meandrites;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333511;Mmeandrites;Col;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333511;Pastreoides;Col;2006;2;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Colpophyllia;natans;Colpophyllia natans;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Cnatans;USVI;2007;1;;;;;;;;;;;;;;;
